CourseID,CourseCode,LecturerID,LevelText,LevelGroupID,Department,Semester
1,COS101,2,100,2,Computer Science,First
2,CSC 101,8,100,2,Computer Science,First
3,LCSC102,3,100,2,Computer Science,Second
4,LCSC104,2,100,2,Computer Science,Second
5,CSC201,1,200,4,Computer Science,First
6,CSC203,2,200,4,Computer Science,First
7,CSC205,3,200,4,Computer Science,First
8,CSC207,4,200,4,Computer Science,First
9,CSC209,1,200,4,Computer Science,First
10,CSC211,2,200,4,Computer Science,First
11,FCI200,7,200,4,Computer Science,Second
12,CSC212,5,200,4,Computer Science,Second
13,CSC206,2,200,4,Computer Science,Second
14,CSC202,8,200,4,Computer Science,Second
15,CSC301,6,300,8,Computer Science,First
16,CSC303,8,300,8,Computer Science,First
17,CSC305,7,300,8,Computer Science,First
18,CSC307,4,300,8,Computer Science,First
19,CSC311,5,300,8,Computer Science,First
20,CSC315,2,300,8,Computer Science,First
21,CSC331,3,300,8,Computer Science,First
22,CSC302,1,300,8,Computer Science,Second
23,CSC304,2,300,8,Computer Science,Second
24,CSC306,5,300,8,Computer Science,Second
25,CSC310,1,300,8,Computer Science,Second
26,CSC312,6,300,8,Computer Science,Second
27,CSC314,3,300,8,Computer Science,Second
28,CSC316,2,300,8,Computer Science,Second
29,FCI300,1,300,8,Computer Science,Second
30,CSC401,5,400,11,Computer Science,First
31,CSC403,3,400,11,Computer Science,First
32,CSC405,6,400,11,Computer Science,First
33,CSC407,2,400,11,Computer Science,First
34,CSC409,5,400,11,Computer Science,First
35,CSC411,7,400,11,Computer Science,First
36,CSC417,8,400,11,Computer Science,First
37,CSC441,5,400,11,Computer Science,First
38,CSC501,3,500,13,Computer Science,First
39,CSC503,2,500,13,Computer Science,First
40,CSC505,6,500,13,Computer Science,First
41,CSC507,7,500,13,Computer Science,First
42,CSC509,6,500,13,Computer Science,First
43,CSC511,7,500,13,Computer Science,First
44,CSC502,2,500,13,Computer Science,Second
45,CSC504,3,500,13,Computer Science,Second
46,CSC508,3,500,13,Computer Science,Second
47,CSC524,2,500,13,Computer Science,Second
48,CSC526,3,500,13,Computer Science,Second
